PK,event_timestamp,INDE,IDADE,IAA,IEG,IPS,IPP,IDA,IPV,DEFASAGEM
RA-2502024,2026-03-06 11:33:59.499006+00:00,9.049892593,14,9.2,9.6,6.9,9.0,9.2,9.0,0.0
RA-15812024,2026-03-06 11:33:59.499006+00:00,6.978702286,16,8.3,7.8,6.3,7.1,6.3,7.4,1.0
RA-15822024,2026-03-06 11:33:59.499006+00:00,6.472788889,15,8.3,8.1,6.3,6.7,4.5,6.7,1.0
RA-15832024,2026-03-06 11:33:59.499006+00:00,7.819757971,15,7.9,7.8,6.3,9.2,8.2,9.0,1.0
RA-4502024,2026-03-06 11:33:59.499006+00:00,7.526188207,15,8.8,9.0,5.6,7.8,7.5,7.6,1.0
RA-4262024,2026-03-06 11:33:59.499006+00:00,6.643003019,15,7.9,7.9,4.4,7.7,4.8,8.0,1.0
RA-15842024,2026-03-06 11:33:59.499006+00:00,7.429837831,15,8.3,9.2,7.5,7.8,5.5,8.2,1.0
RA-3132024,2026-03-06 11:33:59.499006+00:00,7.25285,15,8.8,9.7,5.6,7.8,4.8,8.2,1.0
RA-4672024,2026-03-06 11:33:59.499006+00:00,7.729811842,15,7.9,9.1,5.0,7.3,6.8,7.5,0.0
RA-15852024,2026-03-06 11:33:59.499006+00:00,6.730367017,15,10.0,6.8,7.5,7.7,4.0,7.8,1.0
RA-4322024,2026-03-06 11:33:59.499006+00:00,7.167975,16,7.5,10.0,6.3,7.3,5.5,7.3,1.0
RA-15862024,2026-03-06 11:33:59.499006+00:00,6.555764327,15,10.0,6.1,5.0,6.9,5.7,7.5,1.0
RA-4702024,2026-03-06 11:33:59.499006+00:00,6.981130848,15,9.6,8.0,7.5,7.0,3.3,6.5,0.0
RA-4172024,2026-03-06 11:33:59.499006+00:00,8.533628558,14,8.3,8.4,7.5,8.4,8.8,8.3,0.0
RA-4072024,2026-03-06 11:33:59.499006+00:00,7.087512817,15,8.3,7.6,6.3,8.0,3.7,7.9,0.0
RA-15872024,2026-03-06 11:33:59.499006+00:00,7.34055,16,9.2,10.0,7.5,7.8,3.8,8.2,1.0
RA-15882024,2026-03-06 11:33:59.499006+00:00,7.303823728,14,7.9,8.6,7.5,7.5,4.0,7.4,0.0
RA-4242024,2026-03-06 11:33:59.499006+00:00,7.341187281,14,8.3,9.6,7.5,7.3,3.3,7.2,0.0
RA-11932024,2026-03-06 11:33:59.499006+00:00,6.630481579,15,8.8,7.8,5.6,7.8,4.0,7.8,1.0
RA-4112024,2026-03-06 11:33:59.499006+00:00,7.279762963,14,7.1,9.1,5.6,7.3,4.8,7.4,0.0
RA-4122024,2026-03-06 11:33:59.499006+00:00,8.04437807,14,8.3,8.5,6.3,8.0,7.3,8.1,0.0
RA-4282024,2026-03-06 11:33:59.499006+00:00,7.534949123,14,9.2,8.9,5.6,7.5,5.0,7.6,0.0
RA-3152024,2026-03-06 11:33:59.499006+00:00,6.07687037,15,0.0,5.9,7.5,7.5,6.8,7.6,1.0
RA-3012024,2026-03-06 11:33:59.499006+00:00,8.410830702,15,9.2,7.5,7.5,8.0,9.0,8.2,0.0
RA-11632024,2026-03-06 11:33:59.499006+00:00,8.679478947,15,8.3,9.8,7.5,8.1,7.8,8.8,0.0
RA-4022024,2026-03-06 11:33:59.499006+00:00,5.683064815,14,7.5,3.1,6.3,6.4,4.2,6.1,0.0
RA-15892024,2026-03-06 11:33:59.499006+00:00,5.260851852,15,0.0,6.3,7.5,7.5,2.5,7.5,1.0
RA-11622024,2026-03-06 11:33:59.499006+00:00,7.473167836,14,7.9,9.1,6.3,6.9,5.7,7.0,0.0
RA-4712024,2026-03-06 11:33:59.499006+00:00,6.635847118,14,0.0,7.0,7.5,7.7,5.5,8.0,0.0
RA-3032024,2026-03-06 11:33:59.499006+00:00,6.24434269,16,8.8,4.0,7.5,6.9,5.7,7.5,1.0
RA-11662024,2026-03-06 11:33:59.499006+00:00,7.452799123,16,8.3,8.5,6.3,8.0,6.3,8.6,1.0
RA-4252024,2026-03-06 11:33:59.499006+00:00,9.016616667,14,10.0,10.0,6.3,8.2,9.0,8.8,0.0
RA-15902024,2026-03-06 11:33:59.499006+00:00,8.190787509,15,7.9,8.3,7.5,10.0,8.7,8.8,1.0
RA-15912024,2026-03-06 11:33:59.499006+00:00,6.170795286,16,7.1,6.4,7.5,8.1,3.5,7.1,1.0
RA-2732024,2026-03-06 11:33:59.499006+00:00,6.59913078,16,9.2,7.3,6.3,8.1,4.5,6.9,1.0
RA-15922024,2026-03-06 11:33:59.499006+00:00,6.81254548,15,7.9,6.9,7.5,8.1,5.5,7.4,1.0
RA-3052024,2026-03-06 11:33:59.499006+00:00,6.693026812,16,8.3,7.9,6.3,7.8,4.8,7.0,1.0
